MI,No.overlap
0.154317314,1302
0.437952515,3335
0.226665098,1818
0.317337991,2465
0.062972875,645
0.033358949,433
0.531766336,3997
0.037208432,460
0.467592448,3534
0.04314657,502
0.283503982,2217
0.065074392,658
0.234989153,1869
0.203220701,1642
0.027000531,386
0.286356423,2233
0.361455118,2766
0.463028136,3486
0.193511988,1569
0.440706196,3325
0.263393919,2061
0.178759825,1457
0.182171061,1480
0.182287554,1477
0.210679557,1675
0.033665035,428
0.034239096,432
0.543879333,4012
0.221064323,1744
0.184195902,1481
0.450229224,3344
0.249440126,1935
0.200692568,1594
0.126376093,1073
0.267918348,2062
0.228524842,1785
0.233173248,1817
0.236596144,1839
0.180147241,1445
0.438475139,3245
0.144341874,1195
0.026077297,371
0.330375339,2490
0.846528243,6084
0.357189135,2675
0.298783268,2268
0.048187548,523
0.312686051,2357
0.298426042,2257
0.339284044,2533
0.356790916,2654
0.396392602,2927
0.293378591,2213
0.097881649,863
0.221442571,1715
0.214717396,1665
0.309173713,2312
0.348864085,2584
0.213486173,1653
0.692715062,4943
0.241978881,1843
0.293559432,2195
0.970184136,6824
0.040502686,463
0.123516978,1030
